id,employee_number,department_id,manager_id,first_name,last_name,email,job_title,hire_date,salary,employment_status
a2c505df-8601-50b9-93b2-c7f78d480ee0,EMP-0001,aa1cbb55-df5d-59d2-9d7b-ec3dee81345c,,Michael,Perry,michael.perry@sentinel.example,VP Business Operations,2018-10-22,95889.00,active
1e46ed46-07ad-5550-a904-c6ca6dbf1bb5,EMP-0002,aa1cbb55-df5d-59d2-9d7b-ec3dee81345c,,Carolyn,Walsh,carolyn.walsh@sentinel.example,Chief Strategy Officer,2026-03-26,51284.00,active
e0550b24-4f23-5686-97d1-721452b7ae0f,EMP-0003,aa1cbb55-df5d-59d2-9d7b-ec3dee81345c,,Kendra,Willis,kendra.willis@sentinel.example,VP Business Operations,2026-04-15,160690.00,active
e280663b-809e-5818-b0ee-103bb0697533,EMP-0004,4c8365d9-59ad-569e-be60-27d22f42c0ba,,Benjamin,Ford,benjamin.ford@sentinel.example,Operations Analyst,2025-07-04,82903.00,active
720c7389-880e-5928-a765-7ad18e1dd3c3,EMP-0005,214fc2d6-0181-571e-b00a-c5931cea3abf,,Rebecca,Henderson,rebecca.henderson@sentinel.example,Sales Manager,2023-02-03,69916.00,active
1db4a92b-a015-5bef-b875-c0931951c17a,EMP-0006,214fc2d6-0181-571e-b00a-c5931cea3abf,,Jennifer,Horn,jennifer.horn@sentinel.example,Sales Manager,2020-01-09,63233.00,active
bd33bd7e-3898-541a-b495-194773beb677,EMP-0007,f9172e95-b6b9-5cf9-80cd-102d8f42fb6d,,Mark,Flynn,mark.flynn@sentinel.example,Accountant,2021-10-15,49326.00,active
a43f6f36-6073-58cf-a353-14a49967d3c3,EMP-0008,2b60784d-019d-5175-b183-3ef66bbbcd36,,Jeffery,Acosta,jeffery.acosta@sentinel.example,Software Engineer,2019-08-02,166618.00,active
5072de10-99a6-5171-85cc-d8e9b0909d75,EMP-0009,2b60784d-019d-5175-b183-3ef66bbbcd36,,Kathleen,Williams,kathleen.williams@sentinel.example,Software Engineer,2021-04-11,98393.00,active
e95eb441-8390-5f2a-8300-5c0129b7d7a2,EMP-0010,214fc2d6-0181-571e-b00a-c5931cea3abf,,Lisa,Wiggins,lisa.wiggins@sentinel.example,Sales Manager,2022-02-20,75074.00,active
e2c71215-a998-57ec-9258-3758729ad0a0,EMP-0011,2b655cf7-4c5d-5851-ba55-82e7c45d6ed4,,Jennifer,Fritz,jennifer.fritz@sentinel.example,People Partner,2020-05-25,83989.00,active
325beaf5-ac3f-5db5-ad2c-6bddf7df8ee2,EMP-0012,f9172e95-b6b9-5cf9-80cd-102d8f42fb6d,,Blake,Jackson,blake.jackson@sentinel.example,FP&A Manager,2021-11-12,156487.00,active
864956dc-d3a3-5b04-8bc5-799893f07e26,EMP-0013,bbad392a-eb16-5a88-8b1d-71776f11346e,,Jerry,Walker,jerry.walker@sentinel.example,Support Specialist,2020-03-06,55021.00,active
ea94a58b-c854-5627-b53a-80296dac8550,EMP-0014,214fc2d6-0181-571e-b00a-c5931cea3abf,1db4a92b-a015-5bef-b875-c0931951c17a,Jamie,Shaffer,jamie.shaffer@sentinel.example,Solutions Consultant,2022-05-19,108869.00,active
bdf7146a-3812-5acd-91ef-5082be8572cd,EMP-0015,2b60784d-019d-5175-b183-3ef66bbbcd36,a43f6f36-6073-58cf-a353-14a49967d3c3,David,Bradford,david.bradford@sentinel.example,Data Engineer,2019-09-13,75649.00,active
2615f376-1faa-5e48-9dd4-c1e43700d30c,EMP-0016,061e4cbf-4b7c-575e-a6ae-c01ecb874583,,Grant,Green,grant.green@sentinel.example,Growth Manager,2025-08-20,138698.00,active
40f977bf-12fb-5fed-a8d0-306d76745eb9,EMP-0017,4c8365d9-59ad-569e-be60-27d22f42c0ba,e280663b-809e-5818-b0ee-103bb0697533,Donna,Luna,donna.luna@sentinel.example,Supply Chain Manager,2022-10-16,97300.00,active
3a4f62a5-f7a0-56c0-bb79-7d8de38aa58f,EMP-0018,214fc2d6-0181-571e-b00a-c5931cea3abf,1db4a92b-a015-5bef-b875-c0931951c17a,Brian,Richardson,brian.richardson@sentinel.example,Account Executive,2025-01-18,157377.00,active
147438f1-333c-58d0-8b03-9bd355453159,EMP-0019,4c8365d9-59ad-569e-be60-27d22f42c0ba,40f977bf-12fb-5fed-a8d0-306d76745eb9,Deanna,Jarvis,deanna.jarvis@sentinel.example,Operations Analyst,2025-08-23,165533.00,active
f5f526ac-45ce-5881-b8e3-aba560d0a1b1,EMP-0020,2b60784d-019d-5175-b183-3ef66bbbcd36,bdf7146a-3812-5acd-91ef-5082be8572cd,Wayne,Rose,wayne.rose@sentinel.example,Data Engineer,2019-12-28,82036.00,active
